;Unnamed: 0;Unnamed: 0.1;Unnamed: 0.1.1;id;compagny_name;address;code_nace;code_nace_desc
17;17;;;18;INSTITUT SUPERIEUR D'ETUDES ET DE RECHERCHES PEDAGOGIQUES;RTE. DE DIEKIRCH,L-7220 WALFERDANGE;85.42;Enseignement supérieur
18;18;;;19;INSTITUT NATIONAL DES SPORTS;66, RUE DE TREVES,L-2630 LUXEMBOURG;93.11;Gestion d'installations sportives
19;19;;;20;LYCEE TECHNIQUE DU CENTRE;106, AV. PASTEUR,L-2309 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
20;20;;;21;MUSEE NATIONAL D'HISTOIRE ET D'ART;MARCHE AUX POISSONS,L-2345 LUXEMBOURG;91.02;Gestion des musées
21;21;;;22;INSTITUT VITI-VINICOLE;8, RUE NIC KIEFFER,L-5551 REMICH;84.13;Administration publique (tutelle) des activités économiques
22;22;;;23;ECOLE D'HOTELLERIE ET DE TOURISME DU LUXEMBOURG;RUE JOSEPH MERTEN,L-9257 DIEKIRCH;85.32;Enseignement secondaire technique ou professionnel
23;23;;;24;ADMINISTRATION DU CADASTRE ET DE LA TOPOGRAPHIE;54, AV. GASTON DIDERICH,L-1420 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
24;24;;;25;LYCEE DE GARCONS DE LUXEMBOURG;PL. AUGUSTE LAURENT,L-1921 LUXEMBOURG;85.31;Enseignement secondaire général
25;25;;;26;DIRECTION DE LA SANTE;VILLA LOUVIGNY,L-2120 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
26;26;;;27;ADMINISTRATION DES SERVICES TECHNIQUES DE L'AGRICULTURE - SCORIE THOMAS;16, RTE. D'ESCH,L-1470 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
27;27;;;28;MUSEE NATIONAL D'HISTOIRE NATURELLE;25, RUE MUNSTER,L-2160 LUXEMBOURG;91.02;Gestion des musées
28;28;;;29;MINISTERE DE L'INTERIEUR - FONDS DE REPEUPLEMENT;19, RUE BEAUMONT,L-1219 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
29;29;;;30;MINISTERE DE L'AGRICULTURE - INTERVENTION SUR LES MARCHES;1, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
30;30;;;31;CENTRE DE LOGOPEDIE;4, PLACE THOMAS EDISON,L-1483 STRASSEN;85.2;Enseignement primaire
31;31;;;32;BIBLIOTHEQUE NATIONALE;37, BD. F-D ROOSEVELT,L-2450 LUXEMBOURG;91.01;Gestion des bibliothèques et des archives
32;32;;;33;MINISTERE DE L'EDUCATION NATIONALE ET DE LA FORMATION PROFESSIONNELLE;29, RUE ALDRINGEN,L-1118 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
33;33;;;34;CENTRE DE GESTION DU PERSONNEL ET DE L'ORGANISATION DE L'ETAT;63, AV. DE LA LIBERTE,L-1931 LUXEMBOURG;84.113;Activités de soutien aux administrations publiques
34;34;;;35;ADMINISTRATION DES CONTRIBUTIONS DIRECTES ET DES ACCISES;45, BD. F-D ROOSEVELT,L-2450 LUXEMBOURG;84.111;Administration centrale
35;35;;;36;CENTRE PENITENTIAIRE DE GIVENICH;MAISON 9,L-6666 GIVENICH;84.23;Justice
36;36;;;37;HOPITAL NEUROPSYCHIATRIQUE DE L'ETAT;17, AV. DES ALLIES,L-9012 ETTELBRUCK;86.1;Activités hospitalières
37;37;;;38;ARMEE / EDUCATION - LOISIRS;17, RUE AUGUSTE LUMIERE,L-1950 LUXEMBOURG;84.22;Défense
38;38;;;39;ADMINISTRATION DES SERVICES TECHNIQUES DE L'AGRICULTURE;16, RTE. D'ESCH,L-1470 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
39;39;;;40;SERVICE CENTRAL DES IMPRIMES ET DES FOURNITURES DE BUREAU DE L'ETAT.;22, RUE DES BRUYERES,L-1274 HOWALD;84.113;Activités de soutien aux administrations publiques
40;40;;;41;ADMINISTRATION DES DOUANES - MASSE D'HABILLEMENT;26, PL. DE LA GARE,L-1616 LUXEMBOURG;84.111;Administration centrale
41;41;;;42;ARCHIVES NATIONALES;PLT. DU ST. ESPRIT,L-1475 LUXEMBOURG;91.01;Gestion des bibliothèques et des archives
42;42;;;43;LYCEE GUILLAUME KROLL;32, RUE HENRI KOCH,L-4354 ESCH-SUR-ALZETTE;85.32;Enseignement secondaire technique ou professionnel
43;43;;;44;ADMINISTRATION DE L'ENVIRONNEMENT;16, RUE EUGENE RUPPERT,L-2453 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
44;44;;;45;ADMINISTRATION DES SERVICES TECHNIQUES DE L'AGRICULTURE - IMPORTATIONS;16, RTE. D'ESCH,L-1470 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
45;45;;;46;INSTITUT POUR DEFICIENTS VISUELS;17A, ROUTE DE LONGWY,L-8080 BERTRANGE;85.2;Enseignement primaire
46;46;;;47;ETABLISSEMENT THERMAL DE MONDORF-ETAT - INSTITUT MEDICAL;AV. DES BAINS,L-5610 MONDORF-LES-BAINS;86.909;Autres activités pour la santé humaine n.c.a.
47;47;;;48;ASSURANCE VIEILLESSE ET INVALIDITE;1, RUE STE. ZITHE,L-2763 LUXEMBOURG;84.3;Sécurité sociale obligatoire
48;48;;;49;MINISTERE DE LA JUSTICE;13, RUE ERASME,L-1468 LUXEMBOURG;84.23;Justice
49;49;;;50;MINISTERE DE LA FAMILLE ET DE LA SOLIDARITE;12, AV. EMILE REUTER,L-2420 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
50;50;;;51;MUSIQUE MILITAIRE;33, RUE CHARLES MARTEL,L-2134 LUXEMBOURG;90.01;Arts du spectacle vivant
51;51;;;52;ADMINISTRATION DE L'ENREGISTREMENT - DIRECTION;1, AV. GUILLAUME,L-1651 LUXEMBOURG;84.111;Administration centrale
52;52;;;53;ADMINISTRATION DE L'ENREGISTREMENT DIEKIRCH;HOTEL DES POSTES,L-9237 DIEKIRCH;84.111;Administration centrale
53;53;;;54;ADMINISTRATION DE L'ENREGISTREMENT WILTZ;5, ROUTE DE KAUTENBACH,L-9534 WILTZ;84.111;Administration centrale
54;54;;;55;ADMINISTRATION DE L'ENREGISTREMENT ET DES DOMAINES;1, AV. GUILLAUME,L-1651 LUXEMBOURG;84.111;Administration centrale
55;55;;;56;ADMINISTRATION DE L'ENREGISTREMENT MERSCH;3, RUE GRANDE-DUCHESSE CHARLOTTE,L-7520 MERSCH;84.111;Administration centrale
56;56;;;57;ADMINISTRATION DE L'ENREGISTREMENT REDANGE-SUR-ATTERT;74, GRAND-RUE,L-8510 REDANGE;84.111;Administration centrale
57;57;;;58;ADMINISTRATION DE L'ENREGISTREMENT REMICH;2, RUE DE LA GARE,L-5540 REMICH;84.111;Administration centrale
58;58;;;59;ADMINISTRATION DE L'ENREGISTREMENT CAPELLEN;55, RUE DU KIEM,L-8328 CAP;84.111;Administration centrale
59;59;;;60;ADMINISTRATION DE L'ENREGISTREMENT CLERVAUX;1, GRAND-RUE,L-9710 CLERVAUX;84.111;Administration centrale
60;60;;;61;ADMINISTRATION DE L'ENREGISTREMENT ECHTERNACH;2, RUE DU PONT,L-6471 ECHTERNACH;84.111;Administration centrale
61;61;;;62;ADMINISTRATION DE L'ENREGISTREMENT GREVENMACHER;HOTEL DES POSTES,L-GREVENMACHER;84.111;Administration centrale
62;62;;;63;ADMINISTRATION DE L'ENREGISTREMENT ESCH-SUR-ALZETTE;33, RUE ZENON BERNARD,L-4031 ESCH-SUR-ALZETTE;84.111;Administration centrale
63;63;;;64;FONDS DE RENOVATION DE L'ILOT CLAIREFONTAINE;4, BD. F-D ROOSEVELT,L-2450 LUXEMBOURG;68.32;Administration de biens immobiliers
64;64;;;65;CAISSE D'ASSURANCE DES ANIMAUX DE BOUCHERIE;113, RUE DE HOLLERICH,L-1741 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
65;65;;;66;MDDI-DEPARTEMENT DE L'ENVIRONNEMENT;4, PLACE DE L'EUROPE,L-1499 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
66;66;;;67;COMMISSARIAT AUX ASSURANCES;7, BOULEVARD JOSEPH II,L-1840 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
67;67;;;68;INSPECTION DU TRAVAIL ET DES MINES;3, RUE DES PRIMEURS,L-2361 STRASSEN;84.13;Administration publique (tutelle) des activités économiques
68;68;;;69;AGENCE POUR LE DEVELOPPEMENT DE L'EMPLOI;10, RUE BENDER,L-1229 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
69;69;;;70;COUR GRAND-DUCALE - ADMINISTRATION DES BIENS DE SON ALTESSE ROYALE LE GRAND-DUC;17, RUE DU MARCHE-AUX-HERBES,L-1728 LUXEMBOURG;68.32;Administration de biens immobiliers
70;70;;;71;COUR GRAND-DUCALE - ADMINISTRATION DES BIENS DE SON ALTESSE ROYALE LA PRINCESSE JOAN;17, RUE DU MARCHE-AUX-HERBES,L-1728 LUXEMBOURG;68.32;Administration de biens immobiliers
71;71;;;72;SERVICE DE L'IMMIGRATION;14, AV. DE LA GARE,L-1610 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
72;72;;;73;ADMINISTRATION DES PONTS ET CHAUSSEES - DIVISION DES SERVICES REGIONAUX DE LA VOIRIE, LUXEMBOURG;5, RUE ALBERT IER,L-1117 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
73;73;;;74;MINISTERE DE L'AGRICULTURE - SALAIRES SERVICE AGRICOLE;1, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
74;74;;;75;MINISTERE DE L'AGRICULTURE, DE LA VITICULTURE ET DU DEVELOPPEMENT RURAL;1, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
75;75;;;76;MINISTERE DE LA SANTE;ALLEE MARCONI - VILLA LOUVIGNY,L-2120 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
76;76;;;77;MINISTERE DES FINANCES;3, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.111;Administration centrale
77;77;;;78;ECOLE DE COMMERCE ET DE GESTION - SCHOOL OF BUSINESS AND MANAGEMENT;21, RUE MARGUERITE DE BRABANT,L-1254 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
78;78;;;79;ASSURANCE-ACCIDENTS - SECTION AGRICOLE ET FORESTIERE;1, RUE STE. ZITHE,L-2763 LUXEMBOURG;84.3;Sécurité sociale obligatoire
79;79;;;80;ASSOCIATION D'ASSURANCE ACCIDENT, EN ABREGE:AAA;125, ROUTE D'ESCH,L-1471 LUXEMBOURG;84.3;Sécurité sociale obligatoire
80;80;;;81;MINISTERE DES SPORTS;66, RUE DE TREVES,L-2630 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
81;81;;;82;CENTRE PSYCHO-SOCIAL ET D'ACCOMPAGNEMENT SCOLAIRES - CEPAS;58, BOULEVARD GRANDE-DUCHESSE CHARLOTTE,L-1330 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
82;82;;;83;MINISTERE DU DEVELOPPEMENT DURABLE ET DES INFRASTRUCTURES, DEPARTEMENT DES TRAVAUX PUBLICS;4, PLACE DE L'EUROPE,L-1499 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
83;83;;;84;MINISTERE D'ETAT;2, PLACE DE CLAIREFONTAINE,L-1341 LUXEMBOURG;84.111;Administration centrale
84;84;;;85;INSPECTION GENERALE DES FINANCES;2, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.111;Administration centrale
85;85;;;86;SERVICE DES DOMMAGES DE GUERRE CORPORELS;26, RUE STE ZITHE,L-2763 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
86;86;;;87;CAISSE GENERALE DE L'ETAT;5, RUE GOETHE,L-1637 LUXEMBOURG;84.111;Administration centrale
87;87;;;88;SERVICE DE LA TRESORERIE DE L'ETAT;3, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.111;Administration centrale
88;88;;;89;MINISTERE DE L'INTERIEUR;19, RUE BEAUMONT,L-1219 LUXEMBOURG;84.111;Administration centrale
89;89;;;90;SERVICE DE CONTROLE DE LA COMPTABILITE DES COMMUNES;19, RUE BEAUMONT,L-1219 LUXEMBOURG;84.111;Administration centrale
90;90;;;91;COMMISSARIAT DE DISTRICT LUXEMBOURG;28, RUE HENRI VII,L-1725 LUXEMBOURG;84.111;Administration centrale
91;91;;;92;MINISTERE DE LA FAMILLE - MAISONS DE RETRAITE DE L'ETAT;12, AV. EMILE REUTER,L-2420 LUXEMBOURG;87.3;Hébergement social pour personnes âgées ou handicapées physiques
92;92;;;93;MINISTERE DU TRAVAIL ET DE L'EMPLOI;26, RUE STE. ZITHE,L-2763 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
93;93;;;94;INSPECTION GENERALE DE LA SECURITE SOCIALE;26, RUE STE. ZITHE,L-2763 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
94;94;;;95;ADMINISTRATION DU CONTROLE MEDICAL DE LA SECURITE SOCIALE;125, RTE. D'ESCH,L-1471 LUXEMBOURG;84.111;Administration centrale
95;95;;;96;CONSEIL ARBITRAL DE LA SECURITE SOCIALE;16, BOULEVARD DE LA FOIRE,L-1528 LUXEMBOURG;84.111;Administration centrale
96;96;;;97;CONSEIL SUPERIEUR DES ASSURANCES SOCIALES;2-4, RUE BECK,L-1222 LUXEMBOURG;84.111;Administration centrale
97;97;;;98;MINISTERE DU DEVELOPPEMENT DURABLE ET DES INFRASTRUCTURES, DEPARTEMENT DES TRANSPORTS;4, PLACE DE L'EUROPE,L-1499 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
98;98;;;99;MINISTERE DES TRANSPORTS - CONTROLE DES TRANSPORTS ROUTIERS;19, BD. ROYAL,L-2449 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
99;99;;;100;SERVICE DE LA NAVIGATION;36, RUE DE MACHTUM,L-6753 GREVENMACHER;84.13;Administration publique (tutelle) des activités économiques
100;100;;;101;MINISTERE DES TRANSPORTS - DIRECTION DE L'AVIATION CIVILE;4, RUE LOU HEMMER,L-2633 SENNINGERBERG;84.13;Administration publique (tutelle) des activités économiques
101;101;;;102;CENTRALES HYDRO-ELECTRIQUES DE L'ETAT;34, AV. MARIE-THERESE,L-2132 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
102;102;;;103;MAISON DE SOINS POUR PERSONNES AGEES;2, RUE DE WECKER,L-6832 BETZDORF;87.3;Hébergement social pour personnes âgées ou handicapées physiques
103;103;;;104;SECRETARIAT GENERAL DE LA SANTE PUBLIQUE;VILLA LOUVIGNY,L-2120 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
104;104;;;105;DIRECTION DE LA SANTE - DIVISION DE LA MEDECINE PREVENTIVEET SOCIALE;VILLA LOUVIGNY,L-2120 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
105;105;;;106;SERVICE MEDICO-PSYCHO-PEDAGOGIQUE;188, AV. DE LA FAIENCERIE,L-1511 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
106;106;;;107;MINISTERE DE L'EDUCATION NATIONALE - ENSEIGNEMENT SUPERIEUR;29, RUE ALDRINGEN,L-1118 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
107;107;;;108;MINISTERE DE L'EDUCATION NATIONALE - ENSEIGNEMENT SECONDAIRE;29, RUE ALDRINGEN,L-1118 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
108;108;;;109;ENSEIGNEMENT MOYEN DE LUXEMBOURG DUDELANGE PETANGE;29, RUE ALDRINGEN,L-1118 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
109;109;;;110;SERVICE NATIONAL DE LA JEUNESSE;138, BOULEVARD DE LA PETRUSSE,L-2330 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
110;110;;;111;MUSEES DE L'ETAT;MAR. AUX POISSONS,L-2345 LUXEMBOURG;91.02;Gestion des musées
111;111;;;112;MINISTERE DE L'ECONOMIE;19, BD. ROYAL,L-2449 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
112;112;;;113;OFFICE DES LICENCES;6, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
113;113;;;114;CONSEIL D'ETAT;5, RUE SIGEFROI,L-2536 LUXEMBOURG;84.111;Administration centrale
114;114;;;115;ADMINISTRATION JUDICIAIRE;PLACE ST. ESPRIT,L-1475 LUXEMBOURG;84.23;Justice
115;115;;;116;CHAMBRE DES COMPTES;2, AV. MONTEREY,L-2163 LUXEMBOURG;84.111;Administration centrale
116;116;;;117;HAUT COMMISSARIAT A LA PROTECTION NATIONALE;211, ROUTE D'ESCH,L-1471 LUXEMBOURG;84.25;Services du feu et de secours
117;117;;;118;CAISSE DE MALADIE AGRICOLE;2, RUE DU FORT WALLIS,L-2714 LUXEMBOURG;84.3;Sécurité sociale obligatoire
118;118;;;119;CAISSE DE PENSION AGRICOLE;2, RUE DU FORT WALLIS,L-2714 LUXEMBOURG;84.3;Sécurité sociale obligatoire
119;119;;;120;SERVICE D'ECONOMIE RURALE;115, RUE DE HOLLERICH,L-1741 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
120;120;;;121;ADMINISTRATION DES SERVICES VETERINAIRES;67, RUE VERTE,L-2667 LUXEMBOURG;75.0;Activités vétérinaires
121;121;;;122;MINISTERE DE LA FONCTION PUBLIQUE ET DE LA REFORME ADMINISTRATIVE;63, AV. DE LA LIBERTE,L-1931 LUXEMBOURG;84.111;Administration centrale
122;122;;;123;MINISTERE DES AFFAIRES ETRANGERES DIRECTION DE LA DEFENSE;6, RUE DE L'ANCIEN ATHENEE,L-1144 LUXEMBOURG;84.22;Défense
123;123;;;124;MINISTERE DE LA CULTURE;4, BOULEVARD FRANKLIN D. ROOSEVELT,L-2450 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
124;124;;;125;ADMINISTRATION GOUVERNEMENTALE;4, RUE DE LA CONGREGATION,L-1352 LUXEMBOURG;84.111;Administration centrale
125;125;;;126;CENTRE DE FORMATION PROFESSIONNELLE CONTINUE;22, RUE HENRI KOCH,L-4354 ESCH-SUR-ALZETTE;85.59;Enseignements divers
126;126;;;127;PONTS ET CHAUSSEES;1, RUE DE STAVELOT,L-9280 DIEKIRCH;84.13;Administration publique (tutelle) des activités économiques
127;127;;;128;LYCEE TECHNIQUE POUR PROFESSION DE SANTE;112, ROUTE D'ARLON,L-1150 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
128;128;;;129;LYCEE MICHEL LUCIUS;157, AVENUE PASTEUR,L-2311 LUXEMBOURG;85.32;Enseignement secondaire technique ou professionnel
129;129;;;130;LYCEE CLASSIQUE D'ECHTERNACH;ANCIENNE ABBAYE,L-6401 ECHTERNACH;85.31;Enseignement secondaire général
130;130;;;131;ADMINISTRATION DES CONTRIBUTIONS - CLERVAUX;1, GRAND-RUE,L-9710 CLERVAUX;84.111;Administration centrale
131;131;;;132;ADMINISTRATION DES CONTRIBUTIONS - DIEKIRCH;PL. GUILLAUME,L-9237 DIEKIRCH;84.111;Administration centrale
132;132;;;133;ADMINISTRATION DES CONTRIBUTIONS - DIFFERDANGE;ANCIEN HOTEL DE VILLE,L-4501 DIFFERDANGE;84.111;Administration centrale
133;133;;;134;ADMINISTRATION DES CONTRIBUTIONS - DUDELANGE;16, RUE JEAN JAURES,L-3490 DUDELANGE;84.111;Administration centrale
134;134;;;135;ADMINISTRATION DES CONTRIBUTIONS - ECHTERNACH;4, RUE DU PONT,L-6471 ECHTERNACH;84.111;Administration centrale
135;135;;;136;ADMINISTRATION DES CONTRIBUTIONS - ESCH-SUR-ALZETTE II;50, RUE XAVIER BRASSEUR,L-4040 ESCH-SUR-ALZETTE;84.111;Administration centrale
136;136;;;137;ADMINISTRATION DES CONTRIBUTIONS - ESCH-SUR-ALZETTE I;50, RUE XAVIER BRASSEUR,L-4040 ESCH-SUR-ALZETTE;84.111;Administration centrale
137;137;;;138;ADMINISTRATION DES CONTRIBUTIONS - ETTELBRUCK;10, PL. MARIE-THERESE,L-9064 ETTELBRUCK;84.111;Administration centrale
138;138;;;139;ADMINISTRATION DES CONTRIBUTIONS - GREVENMACHER;6, RUE DE LA GARE,L-6731 GREVENMACHER;84.111;Administration centrale
139;139;;;140;ADMINISTRATION DES CONTRIBUTIONS - LUXEMBOURG;7, RUE DU PLEBISCITE,L-2341 LUXEMBOURG;84.111;Administration centrale
140;140;;;141;ADMINISTRATION DES CONTRIBUTIONS - MERSCH;3, RUE GRANDE-DUCHESSE CHARLOTTE,L-7520 MERSCH;84.111;Administration centrale
141;141;;;142;ADMINISTRATION DES CONTRIBUTIONS - REDANGE-SUR-ATTERT;74, GRAND-RUE,L-8510 REDANGE;84.111;Administration centrale
142;142;;;143;ADMINISTRATION DES CONTRIBUTIONS - REMICH;6, AV. LAMORT-VELTER,L-5574 REMICH;84.111;Administration centrale
143;143;;;144;ADMINISTRATION DES CONTRIBUTIONS - WILTZ;5, RTE. DE KAUTENBACH,L-9534 WILTZ;84.111;Administration centrale
144;144;;;145;LYCEE TECHNIQUE AGRICOLE ETTELBRUCK;72, AV. LUCIEN SALENTINY,L-9080 ETTELBRUCK;85.32;Enseignement secondaire technique ou professionnel
145;145;;;146;LYCEE ROBERT SCHUMAN;BD. EMMANUEL SERVAIS,L-2535 LUXEMBOURG;85.31;Enseignement secondaire général
146;146;;;147;SERVICE NATIONAL D'ACTION SOCIALE;12, AVENUE EMILE REUTER,L-2420 LUXEMBOURG;84.12;Administration publique (tutelle) de la santé, de la formation, de la culture et des services sociaux, autre que sécurité sociale
147;147;;;148;MINISTERE DE L'ENERGIE;19, BD. ROYAL,L-2449 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
148;148;;;149;MINISTERE DU TOURISME;16, BD. ROYAL,L-2449 LUXEMBOURG;84.13;Administration publique (tutelle) des activités économiques
